timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/28 20:33:53.601, 90 %, 59 %, 3330 MiB, 8192 MiB, 106.74 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:33:54.650, 95 %, 62 %, 3330 MiB, 8192 MiB, 106.55 W, 86, 1500 MHz, 7000 MHz
2026/05/28 20:33:55.724, 96 %, 60 %, 3330 MiB, 8192 MiB, 105.37 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:33:56.799, 97 %, 62 %, 3330 MiB, 8192 MiB, 106.48 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:33:57.882, 96 %, 61 %, 3330 MiB, 8192 MiB, 106.64 W, 86, 1380 MHz, 7000 MHz
2026/05/28 20:33:58.958, 94 %, 62 %, 3330 MiB, 8192 MiB, 106.66 W, 86, 1455 MHz, 7000 MHz
2026/05/28 20:34:00.033, 96 %, 61 %, 3330 MiB, 8192 MiB, 106.80 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:34:01.066, 95 %, 60 %, 3330 MiB, 8192 MiB, 105.45 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:34:02.071, 97 %, 63 %, 3330 MiB, 8192 MiB, 106.05 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:34:03.135, 94 %, 61 %, 3330 MiB, 8192 MiB, 106.25 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:34:04.206, 97 %, 63 %, 3330 MiB, 8192 MiB, 106.45 W, 86, 1515 MHz, 7000 MHz
2026/05/28 20:34:05.277, 93 %, 61 %, 3330 MiB, 8192 MiB, 106.33 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:34:06.346, 96 %, 61 %, 3330 MiB, 8192 MiB, 106.82 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:34:07.416, 97 %, 63 %, 3330 MiB, 8192 MiB, 106.43 W, 86, 1380 MHz, 7000 MHz
2026/05/28 20:34:08.488, 95 %, 57 %, 3330 MiB, 8192 MiB, 106.97 W, 86, 1350 MHz, 7000 MHz
